Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
bc,0.397,0.003,0.37,0.997,0.008,0.245,0.001,2,2,113276,171091,55461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.289,669.402,3594.605,LIMIT,TIME_LIM_SOL,33.0000,4.2890,669.4018%,1,1.70,3598.48
bc1,0.38,0.001,0.384,1,0.003,0.294,0,2,2,112716.5,167111,58322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.189,56.194,3592.873,LIMIT,TIME_LIM_SOL,3.4187,2.1888,56.1940%,1,1.69,3597.26
bdry0_79,0.146,0.415,0.751,0.937,0.59,0.026,0.013,4,25,1480.76,9275,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.751,1.340781E156,867.52,LIMIT,TIME_LIM_NOSOL,,21.7511,,3,7.21,3599.49
bdry1_79,0.147,0.415,0.751,0.937,0.59,0.026,0.013,4,25,1480.76,9275,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.628,1.340781E156,830.65,LIMIT,TIME_LIM_NOSOL,,24.6284,,3,7.19,3599.41
beasleyc3,0.026,0.746,0.947,0.788,1,0,0.048,12,77,38.26,312,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.406,61.711,6.465,LIMIT,TIME_LIM_SOL,818.0000,536.9142,52.3521%,31254,0.04,3599.96
bell3a,0.005,0.221,0.51,0.855,0.506,0.034,0.031,2,3,64.333,98,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873792.059,0.531,1.176,LIMIT,TIME_LIM_SOL,"878,430.3160","877,745.8846",0.0780%,15064,0.01,3599.99
bell5,0.004,0.551,0.675,0.815,1,0,0.041,2,4,37.5,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8962823.111,0.295,0.353,SOLVED,OPTIMAL_RGAP,"8,966,406.4915","8,965,510.3252",0.0100%,343,0.01,9.54
berlin52MTZ,0.076,0.322,0.49,0.898,0.733,0.016,0.022,2,44,255,6624,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7163,13.332,347.842,LIMIT,TIME_LIM_SOL,"8,118.0000","7,167.0000",13.2692%,6,0.18,3599.87
berlin_5_8_0,0.029,0.391,0.5,1,0.783,0.012,0,2,2,2048,2094,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,14.082,363.087,LIMIT,TIME_LIM_SOL,64.0000,62.0000,3.2258%,45,0.04,3599.96
bg512142,0.024,0.361,0.499,0.967,0.747,0.015,0.007,2,2,1699,1764,1634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173861.579,22.181,3599.883,LIMIT,TIME_LIM_SOL,"212,425.0000","173,861.5794",22.1805%,1,0.04,3599.96
bglng,0.091,0.901,0.99,0.91,1,0,0.019,6,100,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95.427,0.049,7.166,LIMIT,TIME_LIM_SOL,-95.3974,-95.4268,0.0309%,28368,0.29,3599.62
bglngship1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"5,859,770,512.6000","5,860,355,795.9000",0.0100%,3340,4.82,1915.24
bglngship2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"4,904,330,915.6000","4,904,820,880.6000",0.0100%,1089,4.66,584.15
bglngship3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"5,875,033,908.2000","5,875,618,296.6000",0.0099%,3891,5.42,2472.64
biella1,0.269,0.236,0.498,0.5,0.947,0.003,0.139,2,2,10677.5,11387,9968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2581409.878,24.572,3597.702,LIMIT,TIME_LIM_SOL,"3,215,701.0500","2,581,409.8775",24.5715%,1,0.63,3599.23
bienst1,0.02,0.331,0.744,0.556,0.8,0.011,0.117,4,4,339,425,286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.422,69.944,7.471,LIMIT,TIME_LIM_SOL,49.4000,40.5000,21.9753%,500,0.02,3599.96
bienst2,0.015,0.331,0.744,0.556,0.8,0.011,0.117,4,4,339,425,286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.091,84.942,8.095,LIMIT,TIME_LIM_SOL,57.5000,40.5000,41.9753%,583,0.02,3599.96
bier127MTZ,0.362,0.493,0.736,0.957,0.7,0.018,0.009,4,4,17136,24024,14280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112276,30.86,3597.341,LIMIT,TIME_LIM_SOL,"146,924.0000","112,276.0000",30.8597%,1,0.70,3599.04
bills_snowflake,0.039,0.475,0.946,0.533,0.942,0.003,0.126,16,22,97.773,168,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.85,1.340781E156,3.027,SOLVED,OPTIMAL,34.0000,34.0000,0.0000%,72,1.66,51.92
binkar10_1,0.021,0.812,0.863,0.94,1,0,0.012,3,10,293.6,563,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6637.188,1.853,2.356,LIMIT,TIME_LIM_SOL,"6,749.0399","6,679.6181",1.0393%,80658,0.07,3599.95
blend2,0.006,0.713,0.986,0.723,1,0,0.065,4,74,4.838,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.044,7.879,0.45,SOLVED,OPTIMAL,7.5990,7.5990,0.0000%,264,0.04,3.57
bley_xl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,190.0000,190.0000,0.0000%,1,14.91,21.14
blp_ar98,0.214,0.584,0.951,0.614,1,0,0.098,15,539,41.998,3630,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6095.462,11.414,22.875,LIMIT,TIME_LIM_SOL,"6,437.5672","6,128.8297",5.0375%,17882,2.20,3598.67
blp_ic97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIT,TIME_LIM_SOL,"4,076.6195","3,970.0692",2.6838%,367180,1.74,3599.96
blp_ir98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"2,342.3155","2,342.2597",0.0024%,2172,2.28,19.26
bmik_250_10_100_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"-69,938.0000","-69,938.0000",0.0000%,1601,0.09,0.98
bmik_500_10_100_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"-67,910.0000","-67,910.0000",0.0000%,9952,0.37,5.82
bmik_500_5_75_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"-51,638.0008","-51,638.0008",0.0000%,2137,0.32,2.80
bnatt350,0.058,0.087,0.5,0.989,0.175,0.087,0.002,2,2,6517.5,6520,6515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,1687.291,LIMIT,TIME_LIM_NOSOL,,0.0000,,4,0.46,3599.78
bnatt400,0.065,0.073,0.494,0.984,0.151,0.095,0.003,2,2,7179,7951,6407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,3599.022,LIMIT,TIME_LIM_NOSOL,,0.0000,,1,0.51,3599.77
boa7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIT,TIME_LIM_SOL,"-1,768.0000","-1,774.6262",0.3734%,8330714,0.19,3600.00
boa8,0.006,0.486,0.984,0.494,1,0,0.141,4,61,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,2900,0.122,LIMIT,TIME_LIM_SOL,0.4800,0.1600,200.0000%,154259,0.06,3599.99
boa_mpo72,0.039,0.077,0.993,0.078,1,0,0.511,4,135,299.815,300,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.438,0.001,0.725,SOLVED,OPTIMAL_RGAP,26.4374,26.4376,0.0007%,1,1.47,5.54
bridge13_06APR28,0.086,0.113,0.5,0.862,0.263,0.067,0.03,2,2,8172,8262,8082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,23.077,3598.625,LIMIT,TIME_LIM_SOL,-10.0000,-13.0000,23.0769%,1,0.86,3599.77
bsnf,7.981,0.62,0.751,0.936,0.882,0.006,0.013,4,938,1015.111,253606,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89482764.235,5155.069,3571.638,LIMIT,TIME_LIM_SOL,"4,702,381,347.9000","89,482,764.2350",5155.0690%,1,7.98,3589.59
buildingenergy,4.21,0.917,0.95,0.999,0.966,0.002,0,22,26,30326.769,49660,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34078E154,1.340781E156,3541.926,LIMIT,TIME_LIM_SOL,"77,405.3141",,,1,6.57,3573.75
c10400,0.004,0.883,0.998,0.885,1,0,0.024,7,400,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18342.427,0.166,0.501,LIMIT,TIME_LIM_SOL,"-18,333.0000","-18,340.3963",0.0403%,78582,0.19,3599.84
c801600,0.109,0.788,0.999,0.788,1,0,0.048,6,1600,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79744.99,0.073,34.828,LIMIT,TIME_LIM_SOL,"-79,703.0000","-79,744.6178",0.0522%,8917,1.80,3597.78
cap6000,0.006,0.994,0.999,0.994,1,0,0.001,5,1719,2.513,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2451537.325,0.024,1.223,SOLVED,OPTIMAL_RGAP,"-2,451,256.0000","-2,451,467.5030",0.0086%,3,0.16,2.16
