Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
ns4976508,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6.244,3,46,1.711,3,69,5.353,10,8.018,0.91,0.979,0.93,0.015,49,49,11745.816,29936,11219,7.487,1,68,45,643.167,1.340781E156,3431.247,LIMIT,TIME_LIM_NOSOL,,643.1667,,1,12.93,3591.67
ns5013590,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.935,2,93,0.326,1,46,1.458,21,2.279,0.16,0.476,0.336,0.218,72,72,1168.361,60834,328,1.96,0,7,93,1064.448,328.167,3543.783,LIMIT,TIME_LIM_SOL,"4,557.6198","1,064.4483",328.1673%,1,8.86,3599.37
ns5221792,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3.055,2,76,0.562,2,55,2.735,27,3.63,0.728,0.75,0.971,0.006,4,4,41475.25,41993,41293,2.196,0,24,45,0,1.340781E156,3580.566,LIMIT,TIME_LIM_NOSOL,,0.0000,,1,1.23,3596.01
ns60pr4,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.109,2,34,0.01,1,20,0.094,22,0.123,0.586,0.922,0.636,0.091,32,32,186.969,910,2,0.107,0,10,29,13421.859,5.611,6.62,SOLVED,OPTIMAL_RGAP,"13,825.0000","13,824.7727",0.0016%,203,0.05,96.48
ns848845,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.56,4,203,0.021,3,34,0.456,86,0.587,0.136,0.744,0.183,0.339,17,17,642.059,5223,284,0.489,2,28,152,0,1.340781E156,30.464,LIMIT,TIME_LIM_NOSOL,,0.0000,,1779,0.38,3599.45
ns894236,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.916,5,165,0.251,5,220,0.773,50,1.173,0.669,0.903,0.741,0.06,12,12,1268.333,2622,178,0.923,1,93,149,15.426,1.340781E156,202.32,SOLVED,OPTIMAL,16.0000,16.0000,0.0000%,382,1.23,3415.44
ns894244,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.692,5,220,0.534,5,275,1.364,49,2.234,0.739,0.932,0.793,0.046,17,17,1848.353,2495,19,1.809,1,125,195,15,6.667,72.836,LIMIT,TIME_LIM_SOL,16.0000,15.0000,6.6667%,222,2.99,3598.69
ns894786,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2.746,4,213,0.578,4,198,2.241,45,3.339,0.83,0.958,0.867,0.029,24,24,2024.042,2516,1873,2.648,0,60,184,11.419,22.597,148.606,LIMIT,TIME_LIM_SOL,13.0000,12.0000,8.3333%,234,4.42,3598.24
ns894788,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.354,4,161,0.067,4,133,0.292,74,0.424,0.449,0.834,0.539,0.124,8,8,559.5,789,4,0.423,3,132,161,7,1.340781E156,10.186,LIMIT,TIME_LIM_NOSOL,,7.0000,,377,0.36,3599.59
ns903616,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.659,2,173,0.149,1,78,1.375,42,1.82,0.811,0.955,0.85,0.033,27,27,1153.222,1646,24,1.786,0,73,173,18.105,1.340781E156,64.098,LIMIT,TIME_LIM_NOSOL,,19.0000,,692,3.72,3598.88
