Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
airland8_R2,0.136,0.181,0.494,0.999,0.366,0.05,0,2,2,14323.5,15865,12782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.375,2998.182,3597.902,LIMIT,TIME_LIM_SOL,"1,065.0000",34.3750,2998.1820%,1,0.63,3599.79
aligninq,0.093,0.08,0.424,0.202,0.937,0.003,0.32,3,3,454.333,970,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677.963,1.308,90.155,LIMIT,TIME_LIM_SOL,"2,713.0000","2,694.8050",0.6752%,117,0.39,3599.87
amgen_divided,2.527,0.154,0.522,0.98,0.301,0.06,0.004,2,12,30243.167,183366,585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16876919.729,25.995,3290.22,LIMIT,TIME_LIM_SOL,"12,489,693.8030","16,876,919.7290",25.9954%,1,12.37,3662.67
app1_2,0.137,0.857,0.921,0.999,0.932,0.004,0,13,13,11423.231,13376,5031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.986,1.340781E156,2823.766,LIMIT,TIME_LIM_NOSOL,,-41.9864,,2,6.43,3600.55
arki001,0.033,0.719,0.899,0.799,1,0,0.045,4,15,855.133,3136,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7580298.437,0.333,100.263,LIMIT,TIME_LIM_SOL,"7,582,013.3315","7,580,556.4394",0.0192%,257,0.17,3599.96
ash608gpia_3col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,INFEASIBLE,,0.0000,,0,0.02,0.02
asml2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"1,100,611.0000","1,100,502.0000",0.0099%,6183,6.78,25.05
assign1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,1.6902,1.6902,0.0000%,1,7.37,9.84
atlanta_ip,0.875,0.51,0.618,0.998,0.826,0.01,0,3,3,56353.333,83009,30137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.018,35.348,3493.954,LIMIT,TIME_LIM_SOL,111.0101,82.0182,35.3481%,1,22.44,3598.98
atm20_100,0.155,0.857,0.95,0.902,1,0,0.021,4,20,2063.85,2341,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463113.334,0.021,152.386,SOLVED,OPTIMAL_RGAP,"2,463,621.5773","2,463,548.8801",0.0030%,5,4.10,394.60
atm_icic,0.879,0.838,0.947,0.884,1,0,0.025,4,20,11998.55,15504,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343761365.8,0,205.507,SOLVED,OPTIMAL,"2,343,761,365.7000","2,343,761,365.7000",0.0000%,1,2.95,372.30
