Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
disneyara_eq_41,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,14.348,2,114,9.888,1,258,11.086,35,24.327,0.351,0.986,0.356,0.207,1339,1339,192.098,27104,6,10.455,0,10,84,-664,12.199,118.571,LIMIT,TIME_LIM_SOL,-583.0000,-664.0000,12.1988%,36,2.81,3576.77
disneyara_eq_42,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10.427,4,124,8.054,3,225,7.857,54,18.551,0.303,0.976,0.311,0.234,1037,1037,190.484,27012,6,7.321,0,8,60,-596,16.107,349.245,ERROR,FAIL_SOL,-500.0000,-596.0000,16.1074%,6,2.39,851.93
disneyara_eq_43,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,59.371,5,169,65.855,4,223,39.98,41,125.686,0.553,0.997,0.555,0.118,5370,5370,181.615,41733,9,59.413,0,12,148,-1273,9.505,245.993,LIMIT,TIME_LIM_SOL,"-1,152.0000","-1,273.0000",9.5051%,13,5.70,3476.93
disneyara_eq_44,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,38.782,3,139,17.591,3,75,27.104,37,56.695,0.471,0.996,0.473,0.15,4059,4059,176.546,30357,9,41.013,0,13,126,-1100,8.727,152.088,LIMIT,TIME_LIM_SOL,"-1,004.0000","-1,100.0000",8.7273%,18,4.45,3541.53
disneyara_eq_45,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,37.028,5,183,28.089,5,203,25.571,50,65.351,0.441,0.968,0.456,0.157,2288,2288,266.572,95283,3,48.086,3,118,143,-1001,10.29,2564.968,LIMIT,TIME_LIM_SOL,-907.0000,"-1,001.0000",9.3906%,5,4.30,3533.41
disneyara_eq_46,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,120.348,3,160,48.518,3,61,84.377,40,169.814,0.648,0.998,0.649,0.087,9378,9378,207.716,44007,9,132.29,0,16,142,-1796,10.022,764.955,LIMIT,TIME_LIM_SOL,"-1,616.0000","-1,796.0000",10.0223%,8,7.75,3422.58
disneyara_eq_47,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,89.148,4,155,83.996,3,168,63.07,40,173.836,0.576,0.998,0.577,0.11,7053,7053,207.099,32692,9,120.007,1,60,148,-1561,8.136,349.03,LIMIT,TIME_LIM_SOL,"-1,434.0000","-1,561.0000",8.1358%,11,7.87,3437.17
disneyara_eq_48,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,62.481,3,152,27.665,3,61,42.425,34,90.699,0.511,0.997,0.513,0.134,5858,5858,195.978,45104,9,70.493,0,19,138,-1415,11.378,378.672,LIMIT,TIME_LIM_SOL,"-1,297.0000","-1,415.0000",8.3392%,9,7.45,3536.38
disneyara_eq_49,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,212.123,3,191,98.097,3,61,141.201,40,311.954,0.706,0.998,0.707,0.069,15506,15506,208.051,91979,9,248.742,0,19,179,-2320.789,10.979,2946.877,LIMIT,TIME_LIM_SOL,"-2,066.0000","-2,320.7893",10.9786%,1,12.37,3279.13
disneyara_eq_50,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,163.511,3,191,69.477,3,61,110.416,42,234.233,0.642,0.998,0.643,0.088,11008,11008,221.815,61412,9,188.516,0,20,177,-2021,8.065,1525.251,LIMIT,TIME_LIM_SOL,"-1,858.0000","-2,021.0000",8.0653%,3,9.70,3363.10
disneyara_eq_51,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,156.751,3,247,49.435,3,68,103.842,41,207.137,0.61,0.996,0.613,0.098,8526,8526,227.25,104223,3,168.521,0,24,205,-1930.473,13.493,3165.319,LIMIT,TIME_LIM_SOL,"-1,670.0000","-1,930.4728",13.4927%,1,8.24,3390.89
disneyara_eq_52,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,448.338,3,316,173.777,3,52,275.714,47,624.911,0.745,0.999,0.746,0.059,22811,22811,211.133,130997,7,556.034,0,30,292,-4946.5,47.438,2305.115,LIMIT,TIME_LIM_SOL,"-2,600.0000","-4,946.5000",47.4376%,1,18.90,2954.38
disneyara_gt_50,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,487.35,4,816,55.196,3,148,283.53,68,543.261,0.216,0.489,0.442,0.163,454,454,14673.736,4759690,426,253.044,0,142,322,-4386.622,53.928,2488.776,LIMIT,TIME_LIM_SOL,"-2,021.0000","-4,386.6219",53.9281%,1,13.37,3051.92
disneyara_gt_51,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,271.458,3,609,4.935,2,16,146.629,50,276.914,0.377,0.917,0.412,0.178,857,857,6030.664,1485135,360,256.562,0,14,552,-4560.723,59.897,3025.769,LIMIT,TIME_LIM_SOL,"-1,829.0000","-4,560.7230",59.8967%,1,11.16,3322.00
disneyara_gt_52,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,370.416,4,257,99.278,3,123,238.529,51,471.043,0.107,0.727,0.148,0.382,705,705,12800.315,4174392,33,286.856,0,0,211,-3767.338,24.828,2609.078,LIMIT,TIME_LIM_SOL,"-2,832.0000","-3,767.3377",24.8276%,1,22.32,3110.91
disneyara_gt_53,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,487.858,4,630,97.33,3,162,250.067,64,586.166,0.186,0.5,0.373,0.197,547,547,17940.773,6937997,532,303.64,0,0,377,-7524.656,66.962,2389.392,LIMIT,TIME_LIM_SOL,"-2,486.0000","-7,524.6558",66.9619%,1,19.22,3002.48
dolom1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5.853,5,730,0.668,5,190,3.958,196,6.533,0.082,0.654,0.126,0.415,3,3,13487,16303,9983,5.751,3,159,636,6515300.425,49036.407,3584.547,LIMIT,TIME_LIM_SOL,"3,201,384,530.0000","6,515,300.4249",49036.410%,1,0.89,3592.74
drama255,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.017,3,12,0.01,3,22,0.014,6,0.029,0.144,0.449,0.322,0.227,2,2,1858.5,2453,1264,0.011,0,6,4,17,52.941,726.652,LIMIT,TIME_LIM_SOL,26.0000,17.0000,52.9412%,2,0.08,3599.92
