Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bell5_decomp_auto1_log.txt:FS: 0.004 0.378 0.480 0.788 1.000 0.000 0.048 2 3 48.667 91 2 0 0 0.004 3 10 0.001 2 8 0.002 12 0.008 0.378 0.480 0.788 0.048 3 3 48.667 91 2 0.002 0 0 0 8963151.119 0.401 0.058
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/berlin52MTZ_decomp_auto1_log.txt:FS: 0.079 0.325 0.486 0.899 0.744 0.015 0.021 2 42 276.690 6945 2 1 0 0.715 5 136 1.016 5 629 0.627 76 1.738 0.113 0.581 0.194 0.328 631 631 10.951 4244 2 0.140 0 10 11 7167.000 13.269 718.421
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/berlin_5_8_0_decomp_auto1_log.txt:FS: 0.030 0.383 0.499 1.000 0.767 0.013 0.000 2 2 2285.000 2381 2189 1 0 0.106 5 54 0.063 5 103 0.084 36 0.173 0.200 0.481 0.415 0.176 2 2 1922.000 2297 1547 0.004 0 0 0 62.000 0.000 952.036
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bg512142_decomp_auto1_log.txt:FS: 0.028 0.339 0.498 0.986 0.690 0.019 0.003 2 2 2212.500 2338 2087 1 0 0.162 5 105 0.056 5 142 0.128 47 0.226 0.475 0.657 0.723 0.065 3 3 1339.667 1538 1014 0.138 2 82 61 162417.951 36.506 3165.202
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bglng_decomp_auto1_log.txt:FS: 0.101 0.911 0.990 0.921 1.000 0.000 0.017 14 99 453.869 942 411 0 0 0.028 2 1 0.001 1 1 0.026 2 0.035 0.911 0.990 0.921 0.017 99 99 453.869 942 411 0.005 0 0 0 -95.434 0.063 3.263
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bglngship1_decomp_auto1_log.txt:FS: 0.276 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 9.095 5 104 0.801 5 42 7.434 32 9.958 0.599 0.938 0.639 0.090 22 22 17528.227 66433 14318 8.510 0 22 99 5862310879.1 0.564 3496.024
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bglngship2_decomp_auto1_log.txt:FS: 0.213 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 15.679 4 196 2.395 4 161 13.145 71 18.121 0.801 0.963 0.831 0.037 29 29 10661.448 12311 3003 7.714 0 37 105 4906412106.6 0.143 227.084
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bglngship3_decomp_auto1_log.txt:FS: 0.301 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 9.810 3 103 0.952 2 47 8.055 31 10.812 0.609 0.945 0.644 0.088 24 24 17484.792 64359 14642 10.337 1 35 103 5877435302.7 0.474 3450.149
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/biella1_decomp_auto1_log.txt:FS: 0.279 0.240 0.499 0.502 0.958 0.002 0.138 2 2 11348.500 11805 10892 1 0 1.987 5 331 0.258 5 149 1.540 145 2.253 0.221 0.497 0.444 0.162 2 2 10972.500 11777 10168 0.007 0 0 0 3060629.514 6.972 3583.358
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bienst1_decomp_auto1_log.txt:FS: 0.018 0.190 0.752 0.492 0.513 0.033 0.142 4 6 236.167 413 6 1 0 0.016 3 16 0.006 2 28 0.012 14 0.027 0.259 0.853 0.304 0.238 31 31 30.871 311 14 0.017 1 17 9 37.279 25.407 4.291
