Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bnatt350_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.204 5 55 0.444 5 311 0.171 29 0.653 0.081 0.830 0.098 0.465 27 27 270.296 1914 3 0.384 2 164 34 0.000 1.340781E156 13.337
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bnatt400_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.281 5 59 0.602 5 372 0.238 33 0.891 0.096 0.840 0.114 0.434 22 22 383.455 1965 3 0.532 2 205 36 0.000 1.340781E156 20.129
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/boa7_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.012 2 9 0.001 1 3 0.009 10 0.017 0.058 0.498 0.117 0.429 2 2 1974.500 2105 1844 0.015 0 2 9 -1770.443 1.340781E156 106.211
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/boa_mpo72_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.083 2 3 0.002 1 1 0.074 4 0.098 0.849 0.897 0.946 0.011 10 10 7469.700 9918 6285 0.055 0 0 1 26.437 0.000 0.860
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bridge13_06APR28_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.664 5 227 0.027 5 36 0.538 96 0.697 0.125 0.270 0.462 0.154 2 2 7329.500 12296 2363 0.696 5 35 227 -13.000 1.340781E156 2066.139
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bsnf_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 32.301 5 300 799.144 5 237 19.424 20 833.638 0.358 0.867 0.413 0.177 18718 18718 41.806 129669 2 130.912 0 47 248 103556882.89 4427.907 966.430
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/buildingenergy_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 17.596 5 153 78.172 5 280 12.758 27 95.946 0.493 0.837 0.589 0.106 386 386 1594.438 117640 2 34.285 1 100 132 33283.619 131.822 1859.670
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/c10400_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.069 2 20 0.000 1 0 0.057 20 0.075 0.753 0.987 0.762 0.054 363 363 11.124 418 10 0.071 0 0 17 -18341.262 0.094 0.509
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/c801600_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 8.834 5 170 0.725 5 45 7.163 74 9.589 0.626 0.994 0.630 0.092 1131 1131 113.673 3358 80 8.131 0 0 152 -79743.628 0.052 31.906
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/cap6000_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.002 2 6 0.000 1 0 0.001 6 0.005 0.511 0.970 0.527 0.128 34 34 2.059 3 2 0.004 0 0 3 -2451503.203 0.013 0.063
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/cardinal_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.002 2 4 0.001 2 6 0.001 5 0.007 0.313 0.554 0.565 0.114 3 3 109.667 164 20 0.005 0 3 3 143647.194 1.147 27.699
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/censusmtz_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.291 5 130 0.070 5 137 0.249 71 0.365 0.409 0.498 0.822 0.039 2 2 2494.000 2648 2340 0.301 3 112 107 4.943 11.611 781.504
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/cflp_m1_d_004_i3_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 4.425 2 44 1.690 2 82 3.829 28 6.155 0.802 0.931 0.862 0.030 906 906 224.272 37450 100 6.102 1 79 44 73036146.310 62.206 117.560
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/cflp_m1_d_006_i2_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.081 2 12 0.003 1 3 0.069 12 0.092 0.239 0.981 0.243 0.283 113 113 107.133 1070 80 0.080 0 0 10 2528780.733 1.017 10.412
